gwas	eqtl_db	eqtl_origin	loop_origin
T1D_34012112_Gaulton	Quach_2016	monocyte_IAV	monocyte_naive
T1D_34012112_Gaulton	Quach_2016	monocyte_Pam3CSK4	monocyte_naive
T1D_34012112_Gaulton	Quach_2016	monocyte_R848	monocyte_naive
T1D_25751624	Quach_2016	monocyte_IAV	monocyte_naive
T1D_25751624	Quach_2016	monocyte_Pam3CSK4	monocyte_naive
T1D_25751624	Quach_2016	monocyte_R848	monocyte_naive
T1D_34594039_GCST90018925	Quach_2016	monocyte_IAV	monocyte_naive
T1D_34594039_GCST90018925	Quach_2016	monocyte_Pam3CSK4	monocyte_naive
T1D_34594039_GCST90018925	Quach_2016	monocyte_R848	monocyte_naive
T1D_32005708	Quach_2016	monocyte_IAV	monocyte_naive
T1D_32005708	Quach_2016	monocyte_Pam3CSK4	monocyte_naive
T1D_32005708	Quach_2016	monocyte_R848	monocyte_naive
